incident_id,opened_at,cell_id,issue_type,complaint_summary,root_cause,resolution,status,severity
INC-2026-001,2026-01-01T08:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-002,2026-01-01T20:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-003,2026-01-02T03:00:00,XYZ405,handover,HO prep/exec failure spike neighbor sector XYZ405,Target cell barred due to transport alarm on F1,Reduced A3 offset and enabled time-to-trigger tuning,Closed,Critical
INC-2026-004,2026-01-02T08:00:00,XYZ403,rach,Registration failures at cell edge XYZ403,PRACH occasion collision with co-channel DAS,Restored F1 link and cleared cell barring,Closed,High
INC-2026-005,2026-01-02T12:00:00,XYZ401,rach,Registration failures at cell edge XYZ401,PRACH occasion collision with co-channel DAS,Retuned electrical tilt and enabled IRC,In Progress,High
INC-2026-006,2026-01-02T20:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Added neighbor relation and tuned HO margins,In Progress,High
INC-2026-007,2026-01-03T03:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Re-ran beam calibration procedure,Closed,High
INC-2026-008,2026-01-03T09:00:00,XYZ403,throughput,DL speed below SLA on XYZ403,High DL BLER and rank-1 stuck — interferer on n77,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-009,2026-01-03T17:00:00,XYZ404,handover,HO prep/exec failure spike neighbor sector XYZ404,Target cell barred due to transport alarm on F1,Rebalanced UPF sessions and scaled pod count,Closed,Critical
INC-2026-010,2026-01-03T23:00:00,XYZ404,handover,HO prep/exec failure spike neighbor sector XYZ404,Target cell barred due to transport alarm on F1,Re-ran beam calibration procedure,Closed,High
INC-2026-011,2026-01-04T09:00:00,XYZ402,beamforming,Beam failure ratio above threshold XYZ402,SSB beam weight drift after AAU firmware upgrade,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-012,2026-01-04T18:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-013,2026-01-05T00:00:00,XYZ401,beamforming,Beam failure ratio above threshold XYZ401,SSB beam weight drift after AAU firmware upgrade,Re-ran beam calibration procedure,Closed,High
INC-2026-014,2026-01-05T06:00:00,XYZ406,call_drop,Voice drops during mobility on XYZ406,Missed Xn neighbor relation for inter-gNB HO,Added neighbor relation and tuned HO margins,Closed,Medium
INC-2026-015,2026-01-05T12:00:00,XYZ401,latency,Video buffering on 5QI-9 during peak XYZ401,UPF cluster CPU saturation,Updated UDM subscription template,Closed,High
INC-2026-016,2026-01-05T20:00:00,XYZ407,mobility,Network issue on XYZ407,Under investigation,Restored F1 link and cleared cell barring,Closed,Medium
INC-2026-017,2026-01-06T01:00:00,XYZ402,rlf,RLF cluster after successful HO on XYZ402,Too-late HO — A3 offset insufficient for fast UE,Re-ran beam calibration procedure,In Progress,High
INC-2026-018,2026-01-06T07:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Re-ran beam calibration procedure,Closed,High
INC-2026-019,2026-01-06T17:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Restored F1 link and cleared cell barring,Closed,High
INC-2026-020,2026-01-07T01:00:00,XYZ401,rlf,RLF cluster after successful HO on XYZ401,Too-late HO — A3 offset insufficient for fast UE,Reduced A3 offset and enabled time-to-trigger tuning,Closed,Critical
INC-2026-021,2026-01-07T09:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-022,2026-01-07T15:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Retuned electrical tilt and enabled IRC,Closed,Critical
INC-2026-023,2026-01-07T18:00:00,XYZ401,rach,Registration failures at cell edge XYZ401,PRACH occasion collision with co-channel DAS,Re-ran beam calibration procedure,Closed,Critical
INC-2026-024,2026-01-08T03:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Retuned electrical tilt and enabled IRC,Open,High
INC-2026-025,2026-01-08T08:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Re-ran beam calibration procedure,Closed,High
INC-2026-026,2026-01-08T16:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Restored F1 link and cleared cell barring,Closed,High
INC-2026-027,2026-01-09T02:00:00,XYZ408,core,PDU session release without RF anomaly XYZ408,AMF subscription profile missing DNN,Adjusted PRACH configuration index and root sequence,Closed,Medium
INC-2026-028,2026-01-09T09:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Reduced A3 offset and enabled time-to-trigger tuning,Closed,High
INC-2026-029,2026-01-09T13:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Rebalanced UPF sessions and scaled pod count,In Progress,Medium
INC-2026-030,2026-01-09T19:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Reduced A3 offset and enabled time-to-trigger tuning,Closed,High
INC-2026-031,2026-01-10T07:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Restored F1 link and cleared cell barring,In Progress,High
INC-2026-032,2026-01-10T13:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Re-ran beam calibration procedure,Closed,High
INC-2026-033,2026-01-10T18:00:00,XYZ408,transport,N3 throughput cap during evening peak XYZ408,Backhaul link at high utilization on core switch,Reduced A3 offset and enabled time-to-trigger tuning,Closed,Medium
INC-2026-034,2026-01-11T03:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Rebalanced UPF sessions and scaled pod count,Open,High
INC-2026-035,2026-01-11T10:00:00,XYZ407,mobility,Network issue on XYZ407,Under investigation,Updated UDM subscription template,Closed,Medium
INC-2026-036,2026-01-11T18:00:00,XYZ406,rach,Registration failures at cell edge XYZ406,PRACH occasion collision with co-channel DAS,Retuned electrical tilt and enabled IRC,Closed,Medium
INC-2026-037,2026-01-11T22:00:00,XYZ408,core,PDU session release without RF anomaly XYZ408,AMF subscription profile missing DNN,Updated UDM subscription template,Closed,Medium
INC-2026-038,2026-01-12T06:00:00,XYZ405,throughput,DL speed below SLA on XYZ405,High DL BLER and rank-1 stuck — interferer on n77,Re-ran beam calibration procedure,Closed,Critical
INC-2026-039,2026-01-12T13:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Rebalanced UPF sessions and scaled pod count,Open,High
INC-2026-040,2026-01-12T22:00:00,XYZ402,latency,Video buffering on 5QI-9 during peak XYZ402,UPF cluster CPU saturation,Adjusted PRACH configuration index and root sequence,Open,High
INC-2026-041,2026-01-13T05:00:00,XYZ407,handover,HO prep/exec failure spike neighbor sector XYZ407,Target cell barred due to transport alarm on F1,Enabled QoS shaping and scheduled backhaul upgrade,Closed,Critical
INC-2026-042,2026-01-13T10:00:00,XYZ401,latency,Video buffering on 5QI-9 during peak XYZ401,UPF cluster CPU saturation,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-043,2026-01-13T16:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-044,2026-01-14T01:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Added neighbor relation and tuned HO margins,Closed,High
